County,ED visits,Asthma_children,A5.9,A10.14,A15.17,No.Hospitals,PercentLessHS,PercentHS,MedianIncome,SpecDist,PedDist
Quitman,1,19,0,0,1,0,0.301065719,0.405861456,24306,50,
Atkinson,2,38,0,0,1,0,0.326936915,0.437754857,23165,19,20.31916284
Brooks,4,76,0,0,1,1,0.171975309,0.379382716,44153.2,22.2,14.53205128
Greene,4,76,0,0,1,1,0.236665065,0.414344065,36431.5,8.428571429,18.7277609
Tattnall,5,96,0,0,1,1,0.245127436,0.468590705,38054,26.4,25
Murray,23,448,1,0,0,1,0.30124628,0.416945685,40748.875,14,15.90506308
Echols,2,39,1,0,0,0,0.331660813,0.420471651,34733.5,19,25
Berrien,10,195,1,0,0,1,0.259908695,0.334405478,44918.16667,20.5,25
Putnam,8,156,1,0,0,1,0.186137557,0.349141383,45369.4,12,7.265745916
Upson,7,137,0,0,1,1,0.194052988,0.421293687,46314,24.28571429,4.515828503
Columbia,61,1200,1,0,0,0,0.084461365,0.253023751,77675.2,3.35,6.836405261
Dawson,9,178,1,0,0,0,0.148181818,0.401404959,59166.66667,17.33333333,6.759295455
Habersham,19,378,1,0,0,1,0.2293661,0.325094061,47534.625,26.5,8.210456472
Montgomery,2,40,0,0,1,0,0.156939891,0.427540984,50974.66667,11.33333333,10.99708111
Johnson,2,40,0,1,0,0,0.325123153,0.361977741,36846.33333,21.66666667,22.33821698
Baker,1,20,0,0,1,0,0.216019417,0.371359223,37098.5,13,24.06868105
Effingham,14,282,0,0,1,1,0.12342597,0.41822387,65668.6,10,15.7296101
Cherokee,112,2269,1,0,0,1,0.094133709,0.230071979,76484.26923,6.076923077,4.042994524
Bleckley,3,61,0,1,0,1,0.228349011,0.475024327,38195,25.66666667,7.0278051
Jeff Davis,8,164,1,0,0,1,0.215252153,0.443761104,54152,19.33333333,10.22
Sumter,18,369,1,0,0,1,0.210872424,0.346214067,36081.5,15.375,5.858612421
Chattooga,5,103,0,0,1,0,0.266861961,0.373392398,43393.66667,23.83333333,22.99447511
Jeff Davis,3,62,0,1,0,1,0.215252153,0.443761104,54152,19.33333333,10.22
Decatur,7,145,0,0,1,1,0.216117216,0.368272753,38488.42857,6.571428571,13.36462197
Montgomery,4,83,1,0,0,0,0.156939891,0.427540984,50974.66667,11.33333333,10.99708111
Hall,36,754,0,1,0,2,0.22221125,0.306573187,55017.72222,6.972222222,6.040604676
Clinch,1,21,0,1,0,1,0.244131455,0.384976526,42574.5,32,
Bryan,16,340,1,0,0,0,0.093082079,0.275515366,71223.66667,14.83333333,11.3383647
Crawford,2,43,0,0,1,0,0.177414773,0.413494318,37873.66667,19,22.13820092
Lumpkin,10,216,1,0,0,1,0.166022904,0.359558176,55113.25,22.25,14.23285396
Jackson,27,585,1,0,0,1,0.184282784,0.366387881,55891.90909,12.72727273,11.09555591
Appling,4,87,0,0,1,0,0.219922905,0.436295395,42366.6,6,14.52877049
Rockdale,22,479,0,0,1,1,0.132302598,0.292954154,60376.13333,13.46666667,2.210781366
Lumpkin,5,110,0,1,0,1,0.166022904,0.359558176,55113.25,22.25,14.23285396
Clinch,3,66,1,0,0,1,0.244131455,0.384976526,42574.5,32,
Cobb,147,3240,0,0,1,3,0.087637454,0.187315166,77446.96639,5.316666667,3.048156212
Barrow,14,314,0,0,1,0,0.183446503,0.336770336,55017.38889,6.444444444,5.336370056
Elbert,8,181,1,0,0,1,0.250893979,0.423311105,29949.6,36.8,25
Brantley,7,159,1,0,0,0,0.220548391,0.48563997,40596.33333,19.33333333,15.02323455
Toombs,12,274,1,0,0,1,0.151338853,0.411576042,40067.5,5.5,5.611988941
Haralson,6,140,0,0,1,1,0.264056225,0.383400268,50258.6,7.6,22.4334283
Bacon,5,117,1,0,0,0,0.221258503,0.471258503,52641,28.33333333,25
Bryan,7,165,0,0,1,0,0.093082079,0.275515366,71223.66667,14.83333333,11.3383647
Lee,13,307,1,0,0,0,0.128727602,0.323242124,73971.2,9.2,6.317775831
Gilmer,5,119,0,1,0,1,0.226577501,0.384824207,43544.6,4.2,13.34054048
Douglas,29,692,0,0,1,1,0.111005531,0.316848674,60188.25,9.3,4.662408207
Bartow,21,504,0,0,1,1,0.186762704,0.405210224,57496.2,8.133333333,7.490320214
Glynn,15,362,0,0,1,1,0.123621065,0.321845266,62801.2,4.666666667,2.86462606
Sumter,7,169,0,0,1,1,0.210872424,0.346214067,36081.5,15.375,5.858612421
Columbia,24,585,0,1,0,0,0.084461365,0.253023751,77675.2,3.35,6.836405261
Gwinnett,168,4095,0,0,1,3,0.118878578,0.222000667,64561.15044,6.504424779,2.305657159
Banks,7,171,1,0,0,0,0.234914018,0.438353309,53930.5,26.75,20.28
Marion,2,49,0,0,1,0,0.213386161,0.388991085,46459.5,22.66666667,25
Dawson,4,98,0,1,0,0,0.148181818,0.401404959,59166.66667,17.33333333,6.759295455
Newton,21,522,0,0,1,1,0.138736479,0.33635758,53359.07692,12.69230769,6.603029494
Evans,2,50,0,0,1,1,0.224575498,0.38433449,38050,22,25
Gilmer,5,126,0,0,1,1,0.226577501,0.384824207,43544.6,4.2,13.34054048
Butts,4,101,0,0,1,1,0.211083819,0.458013509,60974.33333,41.33333333,13.89913478
Oglethorpe,4,102,1,0,0,0,0.211763178,0.32731758,61574.25,22.75,18.48707002
Wilkes,2,51,0,0,1,1,0.234758872,0.41055505,30931.5,29.75,9.040807902
Lowndes,18,461,0,0,1,2,0.148391842,0.308094462,50247.48,4.84,12.19009498
Macon,6,157,1,0,0,1,0.169129348,0.511252557,31044.25,33.5,11.46774457
Chattooga,4,105,0,1,0,0,0.266861961,0.373392398,43393.66667,23.83333333,22.99447511
Chattooga,9,238,1,0,0,0,0.266861961,0.373392398,43393.66667,23.83333333,22.99447511
Pierce,4,106,0,0,1,0,0.175270739,0.42718957,56463,12,25
Seminole,3,80,1,0,0,1,0.194026448,0.37004104,25002,2.333333333,3.31
Habersham,6,160,0,1,0,1,0.2293661,0.325094061,47534.625,26.5,8.210456472
Henry,42,1126,0,0,1,1,0.08777805,0.314661434,70918.92,15.64,4.352161352
White,8,215,1,0,0,0,0.139620504,0.369300481,54264.2,23.6,19.06335221
Gordon,10,270,0,0,1,1,0.241106165,0.38438891,46444.66667,20.77777778,11.86149176
Jackson,11,297,0,0,1,1,0.184282784,0.366387881,55891.90909,12.72727273,11.09555591
McDuffie,4,111,0,0,1,1,0.292658099,0.378292404,47862.4,36.5,23.45913063
Forsyth,78,2171,1,0,0,1,0.07623983,0.190906995,97883.86667,4.644444444,5.31247508
Gordon,20,558,1,0,0,1,0.241106165,0.38438891,46444.66667,20.77777778,11.86149176
Glascock,1,28,1,0,0,0,0.190535492,0.466998755,44911,43,25
Jones,9,252,1,0,0,0,0.106791721,0.376714101,62899,12,15.80164015
Spalding,11,310,0,0,1,1,0.219655607,0.377272455,46212.5,21.41666667,9.323072362
